Trading name,Owner's name,Current address,GPhC registration number,Status
Alan Stockley & Company Ltd.;,Alan Stockley & Company Ltd.,"Market Place, Snettisham, KING'S LYNN, Norfolk, PE31 7LR, UK",1035279,Registered
Albert Wilde Ltd,Albert Wilde Ltd,"West View Health Village, FLEETWOOD, Lancashire, FY7 8GU, UK",1090930,Registered
Albyn Pharmacy,Mount Street (Aberdeen) Limited,"156 Union Grove, ABERDEEN, Aberdeenshire, AB10 6SR, UK",1041641,Registered
Alcura House,Alcura UK Limited,"Caswell Road, Brackmills Industrial Estate, NORTHAMPTON, NN4 7PU, UK",1122546,Registered
Aldeburgh Pharmacy,Stuart Beer & Co Limited,"125 High Street, ALDEBURGH, Suffolk, IP15 5AR, UK",1037121,Registered
Aldergate Pharmacy,Springpharm Limited,"Fraser House, 75 Upper Gungate, TAMWORTH, Staffordshire, B79 8AX, UK",1116606,Registered
Alexanders Pharmacies Ltd,Alexanders Pharmacies Ltd.,"1 Churchill Drive, Caia Park, WREXHAM, Clwyd, LL13 9HH, UK",1089696,Registered
Alexander's Pharmacies Ltd.,Alexanders Pharmacies Ltd.,"2-3 Stryt Issa, Penycae, WREXHAM, Clwyd, LL14 2PN, UK",1072854,Registered
Alexander's Pharmacies Ltd.,Alexanders Pharmacies Ltd.,"52 - 53 Peris, Plas Madoc, Acrefair, WREXHAM, Clwyd, LL14 3LF, UK",1043183,Registered
Alexanders' Pharmacy,Alexanders' Pharmacy Limited,"51 Stuart Road, Crosby, LIVERPOOL, Merseyside, L23 0QE, UK",1034594,Registered
Alexandra Pharmacy,ISH HEALTHCARE LTD,"190 Alexandra Avenue, HARROW, Middlesex, HA2 9BN, UK",1034963,Registered
Alexandria Pharmacy,Ashwani Kumar Mohindra,"11 Alexandria Drive, LYTHAM ST ANNES, Lancashire, FY8 1JF, UK",1033417,Registered
Ali-Chemist,Hashmats Pharma Ltd,"123 The Broadway, SOUTHALL, Middlesex, UB1 1LW, UK",1035112,Registered
Alis Pharmacy,Date Palm Ltd,"93 Watney Street, LONDON, E1 2QE, UK",1039991,Registered
Alisha Pharmacy,Ravi Ltd,"257 Acton Lane, LONDON, W4 5DG, UK",1041405,Registered
Alisons Chemist,Health Pharm (Leicester) Ltd,"56 Kingsley Park Terrace, NORTHAMPTON, Northamptonshire, NN2 7HH, UK",1035463,Registered
Alium Medical Limited,Alium Medical Limited,"Unit 7, Capital Business Park, Manor Way, BOREHAMWOOD, Hertfordshire, WD6 1GW, UK",1092220,Registered
All Day Pharmacy LLP,All Day Pharmacy LLP,"Falcon House Unit 15, Lawnhurst Trading Estate, Cheadle Heath, STOCKPORT, Cheshire, SK3 0XT, UK",1104504,Registered
